gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wkpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
FRA1TMNT1/170119,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/170119?gameHash=d5dde5557af1adaa,EU CS,2014,Spring,1,2014-04-01 20:45:51,1,4.04,100,Blue,team,,Denial eSports.Europe,,Draven,Renekton,Evelynn,,,1589,1,12,4,18,12,4,2,1,0,0,1,,,,0.4531,0.6042,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,9,3,1,1,1,0,41884,1581.523,,58,2.1901,15,0.5664,5,0,0,45285,28670,1082.5677,,41862,0.165453,,661,137,118,19,30.1322,13042,16134,255,12728,13184,208,314,2950,47,20906,28598,424,18683,22673,339,2223,5925,85
FRA1TMNT1/170119,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/170119?gameHash=d5dde5557af1adaa,EU CS,2014,Spring,1,2014-04-01 20:45:51,1,4.04,200,Red,team,,Team Coast Gold,,Ziggs,Lulu,Nidalee,,,1589,0,4,13,4,4,13,0,0,0,0,0,,,,0.151,0.6042,1,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,1,3,9,0,0,0,1,38846,1466.8093,,69,2.6054,9,0.3398,8,0,0,37483,20868,787.9673,,35465,-0.165453,,543,111,100,11,24.6948,12728,13184,208,13042,16134,255,-314,-2950,-47,18683,22673,339,20906,28598,424,-2223,-5925,-85
FRA1TMNT1/170120,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/170120?gameHash=d551ca7bb1a6324b,EU CS,2014,Spring,1,2014-04-01 21:44:04,2,4.04,1,Blue,top,vANEZ,Team Coast Gold,Shyvana,Ziggs,Thresh,Kha'Zix,,,2280,0,1,2,7,15,20,0,0,0,0,0,0,0,0,0.3947,0.8947,,,,,,,,,,,,,,,,,,,,,,,,0,0,17661,464.7632,0.217305,16,0.4211,1,0.0263,0,0,0,10981,6345,166.9737,0.183291,10765,,220,197,23,21,2,5.7895,2218,2660,35,2738,2918,44,-520,-258,-9,3652,5078,66,4645,5856,100,-993,-778,-34
FRA1TMNT1/170120,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/170120?gameHash=d551ca7bb1a6324b,EU CS,2014,Spring,1,2014-04-01 21:44:04,2,4.04,2,Blue,jng,Airwaks,Team Coast Gold,Elise,Ziggs,Thresh,Kha'Zix,,,2280,0,2,5,9,15,20,0,0,0,0,0,0,0,1,0.3947,0.8947,,,,,,,,,,,,,,,,,,,,,,,,0,0,16608,437.0526,0.204348,9,0.2368,7,0.1842,2,0,0,9987,5351,140.8158,0.154577,10560,,97,30,67,55,12,2.5526,2440,2895,32,2125,3227,34,315,-332,-2,4240,4851,46,3500,5138,58,740,-287,-12
FRA1TMNT1/170120,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/170120?gameHash=d551ca7bb1a6324b,EU CS,2014,Spring,1,2014-04-01 21:44:04,2,4.04,3,Blue,mid,bebe,Team Coast Gold,Orianna,Ziggs,Thresh,Kha'Zix,,,2280,0,4,4,7,15,20,0,0,0,0,0,0,0,0,0.3947,0.8947,,,,,,,,,,,,,,,,,,,,,,,,0,0,21593,568.2368,0.265685,9,0.2368,2,0.0526,0,0,0,13017,8381,220.5526,0.242106,12950,,282,243,39,38,1,7.4211,3107,4312,75,2805,4144,71,302,168,4,5217,7331,129,4401,6371,111,816,960,18
FRA1TMNT1/170120,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/170120?gameHash=d551ca7bb1a6324b,EU CS,2014,Spring,1,2014-04-01 21:44:04,2,4.04,4,Blue,bot,Ritix,Team Coast Gold,Jinx,Ziggs,Thresh,Kha'Zix,,,2280,0,7,5,4,15,20,1,1,0,0,0,0,0,0,0.3947,0.8947,,,,,,,,,,,,,,,,,,,,,,,,0,1,18988,499.6842,0.233632,9,0.2368,1,0.0263,0,0,0,14792,10156,267.2632,0.293382,14735,,334,261,73,67,6,8.7895,2802,2242,47,3090,3588,74,-288,-1346,-27,5170,5623,100,4952,5986,115,218,-363,-15
FRA1TMNT1/170120,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/170120?gameHash=d551ca7bb1a6324b,EU CS,2014,Spring,1,2014-04-01 21:44:04,2,4.04,5,Blue,sup,masterwork,Team Coast Gold,Lulu,Ziggs,Thresh,Kha'Zix,,,2280,0,1,4,13,15,20,0,0,0,0,0,0,0,0,0.3947,0.8947,,,,,,,,,,,,,,,,,,,,,,,,0,0,6423,169.0263,0.0790299,42,1.1053,9,0.2368,4,0,0,9020,4384,115.3684,0.126643,8190,,21,21,0,0,0,0.5526,1856,2107,2,2180,2050,15,-324,57,-13,3604,4121,4,3330,2927,21,274,1194,-17
FRA1TMNT1/170120,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/170120?gameHash=d551ca7bb1a6324b,EU CS,2014,Spring,1,2014-04-01 21:44:04,2,4.04,6,Red,top,Ippon,Denial eSports.Europe,Trundle,Draven,Evelynn,Renekton,,,2280,1,10,1,5,19,15,1,0,0,0,1,1,0,0,0.5,0.8947,,,,,,,,,,,,,,,,,,,,,,,,0,0,16169,425.5,0.151389,8,0.2105,0,0,0,0,0,15672,11036,290.4211,0.277768,13480,,279,255,24,24,0,7.3421,2738,2918,44,2218,2660,35,520,258,9,4645,5856,100,3652,5078,66,993,778,34
FRA1TMNT1/170120,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/170120?gameHash=d551ca7bb1a6324b,EU CS,2014,Spring,1,2014-04-01 21:44:04,2,4.04,7,Red,jng,Kikis,Denial eSports.Europe,Lee Sin,Draven,Evelynn,Renekton,,,2280,1,1,5,9,19,15,0,0,0,0,1,0,1,0,0.5,0.8947,,,,,,,,,,,,,,,,,,,,,,,,0,0,13508,355.4737,0.126475,31,0.8158,3,0.0789,1,0,0,10710,6074,159.8421,0.152878,9925,,128,29,99,89,10,3.3684,2125,3227,34,2440,2895,32,-315,332,2,3500,5138,58,4240,4851,46,-740,287,12
FRA1TMNT1/170120,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/170120?gameHash=d551ca7bb1a6324b,EU CS,2014,Spring,1,2014-04-01 21:44:04,2,4.04,8,Red,mid,niQ,Denial eSports.Europe,Nidalee,Draven,Evelynn,Renekton,,,2280,1,1,2,10,19,15,0,0,0,0,1,0,1,0,0.5,0.8947,,,,,,,,,,,,,,,,,,,,,,,,0,0,29705,781.7105,0.278126,11,0.2895,6,0.1579,0,0,0,12003,7367,193.8684,0.185422,9545,,240,229,11,8,3,6.3158,2805,4144,71,3107,4312,75,-302,-168,-4,4401,6371,111,5217,7331,129,-816,-960,-18
