gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wkpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
TRLH1/1000360397,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000360397?gameHash=f465da624f61adda&amp;tab=overview,WCS,2014,,0,2014-09-28 08:12:36,1,4.14,3,Blue,mid,tinowns,KaBuM! e-Sports,Ahri,Lee Sin,Maokai,Irelia,,,2332,1,8,2,8,19,18,1,1,0,0,0,0,0,0,0.4889,0.952,,,,,,,,,,,,,,,,,,,,,,,,0,0,27588,709.8113,0.34114,18,0.4631,12,0.3087,10,0,0,16534,11799,303.5763,0.255096,13895,,280,270,10,9,1,7.2041,3380,4724,79,3069,4610,72,311,114,7,5567,7309,128,4941,7656,126,626,-347,2
TRLH1/1000360397,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000360397?gameHash=f465da624f61adda&amp;tab=overview,WCS,2014,,0,2014-09-28 08:12:36,1,4.14,4,Blue,bot,Minerva,KaBuM! e-Sports,Jinx,Lee Sin,Maokai,Irelia,,,2332,1,6,3,7,19,18,1,0,0,0,0,0,0,0,0.4889,0.952,,,,,,,,,,,,,,,,,,,,,,,,2,0,24834,638.9537,0.307085,5,0.1286,2,0.0515,1,0,0,16733,11998,308.6964,0.259398,14410,,305,259,46,39,7,7.8473,3086,3072,73,2978,3216,68,108,-144,5,5296,5415,124,4420,5459,103,876,-44,21
TRLH1/1000360397,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000360397?gameHash=f465da624f61adda&amp;tab=overview,WCS,2014,,0,2014-09-28 08:12:36,1,4.14,5,Blue,sup,dans,KaBuM! e-Sports,Morgana,Lee Sin,Maokai,Irelia,,,2332,1,0,2,13,19,18,0,0,0,0,0,0,0,0,0.4889,0.952,,,,,,,,,,,,,,,,,,,,,,,,0,0,7650,196.8268,0.0945963,42,1.0806,9,0.2316,11,0,0,11549,6814,175.3173,0.147321,9615,,13,13,0,0,0,0.3345,2193,2560,2,1784,2746,1,409,-186,1,3946,3621,7,2629,4029,12,1317,-408,-5
TRLH1/1000360397,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000360397?gameHash=f465da624f61adda&amp;tab=overview,WCS,2014,,0,2014-09-28 08:12:36,1,4.14,6,Red,top,Wickd,Alliance,Kayle,Syndra,Zilean,Alistar,,,2332,0,1,4,10,18,19,0,0,0,0,0,0,0,1,0.4631,0.952,,,,,,,,,,,,,,,,,,,,,,,,0,0,5007,128.825,0.0712091,16,0.4117,8,0.2058,3,0,0,10029,5294,136.2093,0.168723,9255,,180,168,12,12,0,4.6312,2448,3484,56,3373,4541,78,-925,-1057,-22,3804,5820,82,4897,5959,102,-1093,-139,-20
TRLH1/1000360397,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000360397?gameHash=f465da624f61adda&amp;tab=overview,WCS,2014,,0,2014-09-28 08:12:36,1,4.14,7,Red,jng,Shook,Alliance,Kha'Zix,Syndra,Zilean,Alistar,,,2332,0,4,3,6,18,19,0,0,0,0,0,0,0,0,0.4631,0.952,,,,,,,,,,,,,,,,,,,,,,,,0,1,15202,391.1321,0.216202,13,0.3345,6,0.1544,4,0,0,10682,5947,153.0103,0.189534,9792,,163,77,86,83,3,4.1938,2812,4005,40,2531,2927,25,281,1078,15,4118,5958,67,4239,4245,37,-121,1713,30
TRLH1/1000360397,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000360397?gameHash=f465da624f61adda&amp;tab=overview,WCS,2014,,0,2014-09-28 08:12:36,1,4.14,8,Red,mid,Froggen,Alliance,Fizz,Syndra,Zilean,Alistar,,,2332,0,7,4,6,18,19,2,0,0,0,0,0,0,0,0.4631,0.952,,,,,,,,,,,,,,,,,,,,,,,,0,0,22447,577.5386,0.319239,8,0.2058,5,0.1286,5,0,0,14091,9356,240.7204,0.298177,13915,,322,298,24,24,0,8.2847,3069,4610,72,3380,4724,79,-311,-114,-7,4941,7656,126,5567,7309,128,-626,347,-2
TRLH1/1000360397,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000360397?gameHash=f465da624f61adda&amp;tab=overview,WCS,2014,,0,2014-09-28 08:12:36,1,4.14,9,Red,bot,Tabzz,Alliance,Twitch,Syndra,Zilean,Alistar,,,2332,0,4,2,6,18,19,0,0,0,0,0,0,0,0,0.4631,0.952,,,,,,,,,,,,,,,,,,,,,,,,0,2,23669,608.9794,0.336619,5,0.1286,7,0.1801,2,0,0,12352,7617,195.9777,0.242756,12440,,255,245,10,10,0,6.5609,2978,3216,68,3086,3072,73,-108,144,-5,4420,5459,103,5296,5415,124,-876,44,-21
TRLH1/1000360397,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000360397?gameHash=f465da624f61adda&amp;tab=overview,WCS,2014,,0,2014-09-28 08:12:36,1,4.14,10,Red,sup,Nyph,Alliance,Thresh,Syndra,Zilean,Alistar,,,2332,0,2,6,7,18,19,0,0,0,0,0,0,0,0,0.4631,0.952,,,,,,,,,,,,,,,,,,,,,,,,0,0,3989,102.6329,0.0567312,52,1.3379,8,0.2058,9,0,0,7898,3163,81.3808,0.100809,6960,,28,28,0,0,0,0.7204,1784,2746,1,2193,2560,2,-409,186,-1,2629,4029,12,3946,3621,7,-1317,408,5
TRLH1/1000360397,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000360397?gameHash=f465da624f61adda&amp;tab=overview,WCS,2014,,0,2014-09-28 08:12:36,1,4.14,100,Blue,team,,KaBuM! e-Sports,,Lee Sin,Maokai,Irelia,,,2332,1,19,18,45,19,18,2,1,0,0,1,,,,0.4889,0.952,1,0,0,0,0,0,0,0,0,,0,0,,,,1,1,1,1,11,1,1,1,4,0,80870,2080.7033,,111,2.8559,40,1.0292,33,0,0,69928,46254,1190.0686,,59065,0.120312,,745,122,95,27,22.307,14563,17824,257,13091,18061,237,1472,-237,20,23945,26549,398,19912,28922,390,4033,-2373,8
TRLH1/1000360397,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000360397?gameHash=f465da624f61adda&amp;tab=overview,WCS,2014,,0,2014-09-28 08:12:36,1,4.14,200,Red,team,,Alliance,,Syndra,Zilean,Alistar,,,2332,0,18,19,35,18,19,2,0,0,0,0,,,,0.4631,0.952,0,0,0,0,0,0,0,0,0,,0,0,,,,0,1,1,0,1,11,0,0,0,4,70314,1809.1081,,94,2.4185,34,0.8748,23,0,0,55052,31378,807.3242,,52362,-0.120312,,816,132,129,3,24.3911,13091,18061,237,14563,17824,257,-1472,237,-20,19912,28922,390,23945,26549,398,-4033,2373,-8
TRLH1/1000360408,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000360408?gameHash=fe5036b02cdae521&amp;tab=overview,WCS,2014,,0,2014-09-28 09:14:58,1,4.14,1,Blue,top,sOAZ,Fnatic,Rumble,Twitch,Yasuo,Kha'Zix,,,2485,0,3,3,4,11,16,0,0,0,0,0,0,0,0,0.2656,0.6519,,,,,,,,,,,,,,,,,,,,,,,,0,0,24018,579.9115,0.396939,17,0.4105,0,0,4,0,0,11509,6484,156.5553,0.182031,11090,,195,189,6,6,0,4.7082,2204,3188,27,2377,2703,51,-173,485,-24,3990,5504,49,4486,5638,100,-496,-134,-51
TRLH1/1000360408,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000360408?gameHash=fe5036b02cdae521&amp;tab=overview,WCS,2014,,0,2014-09-28 09:14:58,1,4.14,2,Blue,jng,Cyanide,Fnatic,Lee Sin,Twitch,Yasuo,Kha'Zix,,,2485,0,1,4,3,11,16,0,0,0,0,0,0,0,0,0.2656,0.6519,,,,,,,,,,,,,,,,,,,,,,,,0,0,3708,89.5292,0.0612812,33,0.7968,5,0.1207,3,0,0,9328,4303,103.8954,0.120797,8450,,109,13,96,90,6,2.6318,2139,2553,34,2419,3216,40,-280,-663,-6,3306,4570,49,3765,5289,64,-459,-719,-15
