gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wkpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
TRLH1/1000310081,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000310081?gameHash=9b4ac773895f00d4,NA LCS,2014,Summer,1,2014-08-23 18:36:55,1,4.14,100,Blue,team,,Team SoloMid,,Nidalee,Lulu,Ryze,,,3315,0,15,6,40,15,6,2,0,0,0,1,,,,0.2715,0.3801,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,3,1,5,8,1,1,0,3,93350,1689.5928,,139,2.5158,60,1.086,33,0,0,85776,52764,955.0045,,81553,-0.0228258,,1393,220,176,44,29.1946,13240,17136,272,12778,17403,284,462,-267,-12,20156,28394,468,20749,29388,474,-593,-994,-6
TRLH1/1000310081,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000310081?gameHash=9b4ac773895f00d4,NA LCS,2014,Summer,1,2014-08-23 18:36:55,1,4.14,200,Red,team,,Dignitas,,Zed,Nunu & Willump,Alistar,,,3315,1,6,15,15,6,15,1,0,0,0,0,,,,0.1086,0.3801,1,0,0,0,0,0,0,0,0,,0,0,,,,1,3,0,0,8,5,0,0,3,0,98690,1786.2443,,158,2.8597,39,0.7059,23,0,0,87848,54836,992.5068,,83436,0.0228258,,1361,290,252,38,29.8824,12778,17403,284,13240,17136,272,-462,267,12,20749,29388,474,20156,28394,468,593,994,6
TRLH1/1000310094,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000310094?gameHash=63de99cb593219a0,NA LCS,2014,Summer,1,2014-08-23 20:36:03,2,4.14,1,Blue,top,Dyrus,Team SoloMid,Maokai,Nidalee,Ryze,Lulu,,,3980,1,2,7,6,16,20,0,0,0,0,0,0,0,0,0.2412,0.5276,,,,,,,,,,,,,,,,,,,,,,,,0,0,34733,523.6131,0.195932,21,0.3166,5,0.0754,1,0,0,19261,11395,171.7839,0.188743,20380,,366,347,19,15,4,5.5176,2548,2752,43,2028,2722,27,520,30,16,4290,5015,76,3267,4717,60,1023,298,16
TRLH1/1000310094,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000310094?gameHash=63de99cb593219a0,NA LCS,2014,Summer,1,2014-08-23 20:36:03,2,4.14,2,Blue,jng,Amazing,Team SoloMid,Elise,Nidalee,Ryze,Lulu,,,3980,1,2,2,11,16,20,0,0,0,0,0,0,0,0,0.2412,0.5276,,,,,,,,,,,,,,,,,,,,,,,,0,0,23970,361.3568,0.135217,56,0.8442,13,0.196,4,0,0,17331,9465,142.6884,0.156775,16075,,171,72,99,68,31,2.5779,2639,2615,28,2621,3155,43,18,-540,-15,4148,4587,39,3864,4555,62,284,32,-23
TRLH1/1000310094,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000310094?gameHash=63de99cb593219a0,NA LCS,2014,Summer,1,2014-08-23 20:36:03,2,4.14,3,Blue,mid,Bjergsen,Team SoloMid,Syndra,Nidalee,Ryze,Lulu,,,3980,1,4,3,8,16,20,0,0,0,0,0,0,0,0,0.2412,0.5276,,,,,,,,,,,,,,,,,,,,,,,,1,1,58773,886.0251,0.331543,11,0.1658,7,0.1055,5,0,0,24147,16281,245.4422,0.269674,25170,,524,467,57,37,20,7.8995,3491,4548,88,3027,4403,81,464,145,7,5741,6953,133,4734,7137,134,1007,-184,-1
TRLH1/1000310094,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000310094?gameHash=63de99cb593219a0,NA LCS,2014,Summer,1,2014-08-23 20:36:03,2,4.14,4,Blue,bot,WildTurtle,Team SoloMid,Lucian,Nidalee,Ryze,Lulu,,,3980,1,6,5,7,16,20,1,0,0,0,1,0,1,0,0.2412,0.5276,,,,,,,,,,,,,,,,,,,,,,,,3,1,50960,768.2412,0.287469,12,0.1809,17,0.2563,3,0,0,23546,15680,236.3819,0.259719,26755,,447,376,71,46,25,6.7387,3787,4026,87,3609,3571,92,178,455,-5,6076,6041,131,5528,5846,139,548,195,-8
TRLH1/1000310094,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000310094?gameHash=63de99cb593219a0,NA LCS,2014,Summer,1,2014-08-23 20:36:03,2,4.14,5,Blue,sup,Lustboy,Team SoloMid,Nami,Nidalee,Ryze,Lulu,,,3980,1,2,3,12,16,20,0,0,0,0,1,1,0,0,0.2412,0.5276,,,,,,,,,,,,,,,,,,,,,,,,0,1,8835,133.191,0.0498389,96,1.4472,19,0.2864,27,0,0,15418,7552,113.8492,0.125089,14015,,23,23,0,0,0,0.3467,2640,2011,1,2153,2434,12,487,-423,-11,4486,3640,5,3192,3738,16,1294,-98,-11
TRLH1/1000310094,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000310094?gameHash=63de99cb593219a0,NA LCS,2014,Summer,1,2014-08-23 20:36:03,2,4.14,6,Red,top,ZionSpartan,Dignitas,Dr. Mundo,Zed,Lee Sin,Alistar,,,3980,0,2,3,9,19,16,0,0,0,0,0,0,0,1,0.2864,0.5276,,,,,,,,,,,,,,,,,,,,,,,,0,0,26669,402.0452,0.157616,20,0.3015,6,0.0905,2,0,0,18988,11122,167.6683,0.17941,16815,,311,299,12,8,4,4.6884,2028,2722,27,2548,2752,43,-520,-30,-16,3267,4717,60,4290,5015,76,-1023,-298,-16
TRLH1/1000310094,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000310094?gameHash=63de99cb593219a0,NA LCS,2014,Summer,1,2014-08-23 20:36:03,2,4.14,7,Red,jng,Crumbz,Dignitas,Nunu & Willump,Zed,Lee Sin,Alistar,,,3980,0,0,3,14,19,16,0,0,0,0,0,0,0,0,0.2864,0.5276,,,,,,,,,,,,,,,,,,,,,,,,0,0,9274,139.809,0.0548102,78,1.1759,37,0.5578,3,0,0,17145,9279,139.8844,0.149681,15285,,175,59,116,98,18,2.6382,2621,3155,43,2639,2615,28,-18,540,15,3864,4555,62,4148,4587,39,-284,-32,23
TRLH1/1000310094,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000310094?gameHash=63de99cb593219a0,NA LCS,2014,Summer,1,2014-08-23 20:36:03,2,4.14,8,Red,mid,Shiphtur,Dignitas,Ziggs,Zed,Lee Sin,Alistar,,,3980,0,4,1,7,19,16,0,0,0,0,0,0,0,0,0.2864,0.5276,,,,,,,,,,,,,,,,,,,,,,,,1,1,59514,897.196,0.351733,7,0.1055,2,0.0302,2,0,0,24335,16469,248.2764,0.265663,19830,,571,524,47,46,1,8.608,3027,4403,81,3491,4548,88,-464,-145,-7,4734,7137,134,5741,6953,133,-1007,184,1
TRLH1/1000310094,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000310094?gameHash=63de99cb593219a0,NA LCS,2014,Summer,1,2014-08-23 20:36:03,2,4.14,9,Red,bot,Imaqtpie,Dignitas,Kog'Maw,Zed,Lee Sin,Alistar,,,3980,0,11,2,6,19,16,0,0,0,0,0,0,0,0,0.2864,0.5276,,,,,,,,,,,,,,,,,,,,,,,,1,3,61963,934.1156,0.366207,8,0.1206,10,0.1508,1,0,0,25631,17765,267.8141,0.286569,25128,,477,427,50,49,1,7.191,3609,3571,92,3787,4026,87,-178,-455,5,5528,5846,139,6076,6041,131,-548,-195,8
TRLH1/1000310094,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000310094?gameHash=63de99cb593219a0,NA LCS,2014,Summer,1,2014-08-23 20:36:03,2,4.14,10,Red,sup,KiWiKiD,Dignitas,Thresh,Zed,Lee Sin,Alistar,,,3980,0,2,7,15,19,16,0,0,0,0,0,0,0,0,0.2864,0.5276,,,,,,,,,,,,,,,,,,,,,,,,1,0,11782,177.6181,0.0696327,75,1.1307,11,0.1658,8,0,0,15223,7357,110.9095,0.118677,13930,,42,40,2,2,0,0.6332,2153,2434,12,2640,2011,1,-487,423,11,3192,3738,16,4486,3640,5,-1294,98,11
TRLH1/1000310094,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000310094?gameHash=63de99cb593219a0,NA LCS,2014,Summer,1,2014-08-23 20:36:03,2,4.14,100,Blue,team,,Team SoloMid,,Nidalee,Ryze,Lulu,,,3980,1,16,20,44,16,20,1,0,0,0,1,,,,0.2412,0.5276,1,0,0,0,0,0,0,0,0,,0,0,,,,0,0,4,1,11,7,1,1,4,3,177271,2672.4271,,196,2.9548,61,0.9196,40,0,0,99703,60373,910.1457,,102395,0.117973,,1285,246,166,80,23.0804,15105,15952,247,13438,16285,255,1667,-333,-8,24741,26236,384,20585,25993,411,4156,243,-27
TRLH1/1000310094,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000310094?gameHash=63de99cb593219a0,NA LCS,2014,Summer,1,2014-08-23 20:36:03,2,4.14,200,Red,team,,Dignitas,,Zed,Lee Sin,Alistar,,,3980,0,19,16,51,19,16,0,0,0,0,0,,,,0.2864,0.5276,0,0,0,0,0,0,0,0,0,,0,0,,,,1,4,0,0,7,11,0,0,3,4,169202,2550.7839,,188,2.8342,66,0.995,16,0,0,101322,61992,934.5528,,90988,-0.117973,,1349,227,203,24,23.7588,13438,16285,255,15105,15952,247,-1667,333,8,20585,25993,411,24741,26236,384,-4156,-243,27
TRLH1/1000310104,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000310104?gameHash=c35504efda021f88,NA LCS,2014,Summer,1,2014-08-23 22:18:24,3,4.14,1,Blue,top,Dyrus,Team SoloMid,Lulu,Nidalee,Ziggs,Ryze,,,3238,1,2,1,10,16,7,0,0,0,0,0,0,0,0,0.2965,0.4262,,,,,,,,,,,,,,,,,,,,,,,,0,0,9046,167.622,0.0985553,17,0.315,2,0.0371,1,0,0,18392,11936,221.1736,0.210182,16930,,399,368,31,19,12,7.3935,2734,3740,59,2461,2740,52,273,1000,7,4517,6405,100,4350,5336,97,167,1069,3
TRLH1/1000310104,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000310104?gameHash=c35504efda021f88,NA LCS,2014,Summer,1,2014-08-23 22:18:24,3,4.14,2,Blue,jng,Amazing,Team SoloMid,Nunu & Willump,Nidalee,Ziggs,Ryze,,,3238,1,0,1,15,16,7,0,0,0,0,1,0,1,0,0.2965,0.4262,,,,,,,,,,,,,,,,,,,,,,,,0,0,7978,147.832,0.0869196,86,1.5936,11,0.2038,6,0,0,13738,7282,134.9351,0.128228,12260,,122,40,82,59,23,2.2607,2809,3307,40,2489,2928,36,320,379,4,4202,5801,62,3967,4157,54,235,1644,8
TRLH1/1000310104,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000310104?gameHash=c35504efda021f88,NA LCS,2014,Summer,1,2014-08-23 22:18:24,3,4.14,3,Blue,mid,Bjergsen,Team SoloMid,Orianna,Nidalee,Ziggs,Ryze,,,3238,1,2,3,12,16,7,0,0,0,0,1,0,1,0,0.2965,0.4262,,,,,,,,,,,,,,,,,,,,,,,,0,0,19213,356.0161,0.209324,7,0.1297,8,0.1482,2,0,0,19426,12970,240.3335,0.22839,17155,,429,378,51,44,7,7.9494,3145,4187,72,3153,4504,70,-8,-317,2,5215,7559,144,5545,7403,128,-330,156,16
TRLH1/1000310104,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000310104?gameHash=c35504efda021f88,NA LCS,2014,Summer,1,2014-08-23 22:18:24,3,4.14,4,Blue,bot,WildTurtle,Team SoloMid,Tristana,Nidalee,Ziggs,Ryze,,,3238,1,12,1,3,16,7,3,0,0,0,1,1,0,0,0.2965,0.4262,,,,,,,,,,,,,,,,,,,,,,,,2,0,51536,954.9599,0.56148,6,0.1112,14,0.2594,0,0,0,24445,17989,333.3354,0.316771,22850,,508,439,69,51,18,9.4132,3736,3475,81,3253,4176,87,483,-701,-6,5414,5946,128,5589,6890,141,-175,-944,-13
TRLH1/1000310104,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000310104?gameHash=c35504efda021f88,NA LCS,2014,Summer,1,2014-08-23 22:18:24,3,4.14,5,Blue,sup,Lustboy,Team SoloMid,Nami,Nidalee,Ziggs,Ryze,,,3238,1,0,1,16,16,7,0,0,0,0,1,0,1,0,0.2965,0.4262,,,,,,,,,,,,,,,,,,,,,,,,1,0,4013,74.3607,0.0437213,77,1.4268,16,0.2965,19,0,0,13068,6612,122.5201,0.11643,11405,,16,16,0,0,0,0.2965,2139,1821,1,2038,2267,16,101,-446,-15,3227,2484,4,3167,3051,19,60,-567,-15
