gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wkpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
TRLH3/1000100081,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000100081?gameHash=f1f1a13f0d37e6c5,EU LCS,2014,Spring,0,2014-03-04 21:08:38,1,,200,Red,team,,Millenium,,Lulu,Kassadin,Renekton,,,2835,1,13,9,38,13,9,1,1,0,0,0,,,,0.2751,0.4656,0,0,0,0,0,0,0,0,0,,0,0,,,,1,2,0,0,9,5,1,1,2,0,93339,1975.4286,,127,2.6878,31,0.6561,8,0,0,83203,54751,1158.7513,,73823,0.174094,,1138,257,234,23,29.5238,13044,18398,284,13626,18115,272,-582,283,12,19709,29589,473,20958,29919,456,-1249,-330,17
TRLH3/1000090106,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000090106?gameHash=b74c065963c8bd79,EU LCS,2014,Spring,0,2014-03-05 15:57:57,1,,1,Blue,top,Darien,Gambit Gaming,Aatrox,Pantheon,Nidalee,Ziggs,,,2171,1,2,2,13,21,10,0,0,0,0,0,0,0,0,0.5804,0.8567,,,,,,,,,,,,,,,,,,,,,,,,1,0,22234,614.4818,0.256442,12,0.3316,3,0.0829,1,0,0,14609,10180,281.345,0.232659,11905,,289,281,8,5,3,7.9871,2589,4401,65,2925,4463,82,-336,-62,-17,4524,7778,118,4360,7121,128,164,657,-10
TRLH3/1000090106,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000090106?gameHash=b74c065963c8bd79,EU LCS,2014,Spring,0,2014-03-05 15:57:57,1,,2,Blue,jng,Diamondprox,Gambit Gaming,Lee Sin,Pantheon,Nidalee,Ziggs,,,2171,1,5,0,10,21,10,1,0,0,0,0,0,0,0,0.5804,0.8567,,,,,,,,,,,,,,,,,,,,,,,,0,0,10452,288.8623,0.120551,28,0.7738,5,0.1382,2,0,0,13350,8921,246.55,0.203885,12082,,160,37,123,106,17,4.4219,2282,3497,38,2397,3615,44,-115,-118,-6,4002,6331,62,3932,6409,67,70,-78,-5
TRLH3/1000090106,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000090106?gameHash=b74c065963c8bd79,EU LCS,2014,Spring,0,2014-03-05 15:57:57,1,,3,Blue,mid,Alex Ich,Gambit Gaming,LeBlanc,Pantheon,Nidalee,Ziggs,,,2171,1,9,3,5,21,10,1,0,0,0,0,0,0,0,0.5804,0.8567,,,,,,,,,,,,,,,,,,,,,,,,0,0,26290,726.5776,0.303223,7,0.1935,3,0.0829,0,0,0,14666,10237,282.9203,0.233961,12460,,256,249,7,7,0,7.0751,3048,4559,87,3106,4302,67,-58,257,20,4843,7426,132,4688,6537,106,155,889,26
TRLH3/1000090106,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000090106?gameHash=b74c065963c8bd79,EU LCS,2014,Spring,0,2014-03-05 15:57:57,1,,4,Blue,bot,Genja,Gambit Gaming,Lucian,Pantheon,Nidalee,Ziggs,,,2171,1,3,0,8,21,10,0,0,0,0,0,0,0,0,0.5804,0.8567,,,,,,,,,,,,,,,,,,,,,,,,0,0,22853,631.5891,0.263581,9,0.2487,1,0.0276,0,0,0,14574,10145,280.3777,0.231859,11990,,311,274,37,36,1,8.5951,2914,3098,73,2716,2651,64,198,447,9,4263,4974,113,4317,4639,102,-54,335,11
TRLH3/1000090106,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000090106?gameHash=b74c065963c8bd79,EU LCS,2014,Spring,0,2014-03-05 15:57:57,1,,5,Blue,sup,Edward,Gambit Gaming,Thresh,Pantheon,Nidalee,Ziggs,,,2171,1,2,5,8,21,10,0,0,0,0,0,0,0,1,0.5804,0.8567,,,,,,,,,,,,,,,,,,,,,,,,0,0,4873,134.6753,0.056204,36,0.9949,4,0.1105,5,0,0,8701,4272,118.0654,0.0976357,7025,,17,17,0,0,0,0.4698,1760,2654,1,1603,2294,0,157,360,1,2395,3664,4,2852,4349,5,-457,-685,-1
TRLH3/1000090106,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000090106?gameHash=b74c065963c8bd79,EU LCS,2014,Spring,0,2014-03-05 15:57:57,1,,6,Red,top,fredy122,SK Gaming,Renekton,Kassadin,Elise,Lulu,,,2171,0,0,4,2,10,21,0,0,0,0,0,0,0,0,0.2764,0.8567,,,,,,,,,,,,,,,,,,,,,,,,0,1,18576,513.3855,0.249219,11,0.304,0,0,0,0,0,11343,6914,191.0825,0.232294,11300,,302,290,12,9,3,8.3464,2925,4463,82,2589,4401,65,336,62,17,4360,7121,128,4524,7778,118,-164,-657,10
TRLH3/1000090106,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000090106?gameHash=b74c065963c8bd79,EU LCS,2014,Spring,0,2014-03-05 15:57:57,1,,7,Red,jng,Svenskeren,SK Gaming,Evelynn,Kassadin,Elise,Lulu,,,2171,0,3,6,2,10,21,0,0,0,0,0,0,0,0,0.2764,0.8567,,,,,,,,,,,,,,,,,,,,,,,,0,0,13980,386.3657,0.187558,5,0.1382,1,0.0276,0,0,0,10424,5995,165.684,0.201418,9590,,145,18,127,114,13,4.0074,2397,3615,44,2282,3497,38,115,118,6,3932,6409,67,4002,6331,62,-70,78,5
TRLH3/1000090106,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000090106?gameHash=b74c065963c8bd79,EU LCS,2014,Spring,0,2014-03-05 15:57:57,1,,8,Red,mid,Jesiz,SK Gaming,Zed,Kassadin,Elise,Lulu,,,2171,0,3,5,2,10,21,0,0,0,0,1,1,0,0,0.2764,0.8567,,,,,,,,,,,,,,,,,,,,,,,,0,0,18287,505.3984,0.245341,28,0.7738,3,0.0829,2,0,0,10925,6496,179.5302,0.21825,10187,,235,220,15,15,0,6.4947,3106,4302,67,3048,4559,87,58,-257,-20,4688,6537,106,4843,7426,132,-155,-889,-26
TRLH3/1000090106,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000090106?gameHash=b74c065963c8bd79,EU LCS,2014,Spring,0,2014-03-05 15:57:57,1,,9,Red,bot,CandyPanda,SK Gaming,Vayne,Kassadin,Elise,Lulu,,,2171,0,1,3,2,10,21,0,0,0,0,1,0,1,0,0.2764,0.8567,,,,,,,,,,,,,,,,,,,,,,,,0,0,11093,306.5776,0.148825,12,0.3316,2,0.0553,0,0,0,11338,6909,190.9443,0.232126,10258,,280,268,12,12,0,7.7384,2716,2651,64,2914,3098,73,-198,-447,-9,4317,4639,102,4263,4974,113,54,-335,-11
